id,bucket_id,name,metadata,created_at,updated_at
28001491-b42a-4a82-b48d-37c79f2dfb47,log-attachments,logs/2026/08/21/5fbf88e3-cb80-4848-a4ad-dd35393745c2.pdf,"{""eTag"":""\""dc29c460843e2ce708053dbfcfc98919\"""",""size"":5098852,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T11:51:28.000Z"",""contentLength"":5098852,""httpStatusCode"":200}",2026-08-21 11:51:27.934084+00,2026-08-21 11:51:27.934084+00
94169604-3e31-489e-9e14-1271b635d42a,log-attachments,logs/2026/08/21/661c5533-22e2-437d-9c28-600031c3f2e9.pdf,"{""eTag"":""\""a50ced429762fa64eee6c3d010f5141d\"""",""size"":5052954,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T13:40:59.000Z"",""contentLength"":5052954,""httpStatusCode"":200}",2026-08-21 13:40:59.036933+00,2026-08-21 13:40:59.036933+00
7a2ca509-1236-46f6-a4e6-946426e73443,log-attachments,logs/2026/08/21/75627053-e181-41ef-b499-826a62264777.pdf,"{""eTag"":""\""203cd1f57c8f56ed5763667cf9338d8d\"""",""size"":5052937,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T12:19:15.000Z"",""contentLength"":5052937,""httpStatusCode"":200}",2026-08-21 12:19:14.714314+00,2026-08-21 12:19:14.714314+00
239a6590-1805-4446-9a76-141810a4921a,log-attachments,logs/2026/08/21/75e9f556-cdd5-48ad-8177-3f624050d58a.pdf,"{""eTag"":""\""5c6523ba420ab8886a2d6aa75938c5a0\"""",""size"":5052982,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T13:30:52.000Z"",""contentLength"":5052982,""httpStatusCode"":200}",2026-08-21 13:30:51.283132+00,2026-08-21 13:30:51.283132+00
e9ddce9d-b475-4244-900f-9880a6fd0d28,log-attachments,logs/2026/08/21/84d9b5cf-efcf-4af0-9387-d5a926d511db.pdf,"{""eTag"":""\""26b8b599ad28d1948f2241e0863d88ee\"""",""size"":5052929,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T12:12:41.000Z"",""contentLength"":5052929,""httpStatusCode"":200}",2026-08-21 12:12:40.808933+00,2026-08-21 12:12:40.808933+00
7b860ea5-3112-421a-88cf-decc2351b888,log-attachments,logs/2026/08/21/b5c11554-3395-4fa7-8c1f-22f65748b623.md,"{""eTag"":""\""69bb0cca4998171ada5cdee4ec88ac8f\"""",""size"":24688,""mimetype"":""text/markdown"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-20T21:38:41.000Z"",""contentLength"":24688,""httpStatusCode"":200}",2026-08-20 21:38:40.908863+00,2026-08-20 21:38:40.908863+00
7509ea35-2b72-43bc-80f0-bab33fc5e121,log-attachments,logs/2026/08/21/bd90bd8e-df81-4ef2-8105-5d918058e2c0.pdf,"{""eTag"":""\""bd25848a4d67838c3a3237f2999923d4\"""",""size"":5095385,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T12:10:34.000Z"",""contentLength"":5095385,""httpStatusCode"":200}",2026-08-21 12:10:33.868364+00,2026-08-21 12:10:33.868364+00
46589ff9-83ab-45a8-af28-13c7b28cb1c7,log-attachments,logs/2026/08/21/c075b493-7bc5-468e-9bcf-12a77dd29d8c.pdf,"{""eTag"":""\""d386fd04a2964d1df01b5d4d069c7de9\"""",""size"":5198697,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T07:24:13.000Z"",""contentLength"":5198697,""httpStatusCode"":200}",2026-08-21 07:24:12.71347+00,2026-08-21 07:24:12.71347+00
df517306-0cc0-48b2-9e8e-c3b473747150,log-attachments,logs/2026/08/21/c4e57471-0f23-488b-aee4-7ded514d6949.pdf,"{""eTag"":""\""29e0bf3eb04a0313e47527814a047b84\"""",""size"":5052979,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T13:14:05.000Z"",""contentLength"":5052979,""httpStatusCode"":200}",2026-08-21 13:14:04.183734+00,2026-08-21 13:14:04.183734+00
24fe0c4e-9c23-4772-a0a1-58a150841992,log-attachments,logs/2026/08/21/d623951c-344b-4531-8c4c-a6ab8dbb72e5.pdf,"{""eTag"":""\""bec496d3c57cbd7818b1962f93c24bf3\"""",""size"":5052945,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T13:21:35.000Z"",""contentLength"":5052945,""httpStatusCode"":200}",2026-08-21 13:21:34.297945+00,2026-08-21 13:21:34.297945+00
2c3be94f-68de-4bda-8a06-00b630d450cf,log-attachments,logs/2026/08/21/d78e701c-fb1e-4d4c-8a98-d041777db83c.pdf,"{""eTag"":""\""203cd1f57c8f56ed5763667cf9338d8d\"""",""size"":5052937,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T12:45:44.000Z"",""contentLength"":5052937,""httpStatusCode"":200}",2026-08-21 12:45:43.281+00,2026-08-21 12:45:43.281+00
0291191e-1e3e-49a8-8187-0b01ea967908,log-attachments,logs/2026/08/21/dbdd4956-e991-4d28-9390-3a1a51266f2d.pdf,"{""eTag"":""\""d93b3d7b5caff0ff1887eff4d776c9c1\"""",""size"":5052981,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T13:16:05.000Z"",""contentLength"":5052981,""httpStatusCode"":200}",2026-08-21 13:16:05.271948+00,2026-08-21 13:16:05.271948+00
97abf5ac-1158-4d48-9731-e838dc062e98,log-attachments,logs/2026/08/21/e783c9c4-adec-40e9-98e2-63de163b23df.pdf,"{""eTag"":""\""d93b3d7b5caff0ff1887eff4d776c9c1\"""",""size"":5052981,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T13:16:53.000Z"",""contentLength"":5052981,""httpStatusCode"":200}",2026-08-21 13:16:52.50488+00,2026-08-21 13:16:52.50488+00
005af011-a817-4543-b475-b6dd2abe486d,log-attachments,logs/2026/08/21/e9da1141-81a9-4dfd-bbf6-4925ff8347cf.pdf,"{""eTag"":""\""896f795c1d7624ecac390d1831af952c\"""",""size"":24622,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T12:16:26.000Z"",""contentLength"":24622,""httpStatusCode"":200}",2026-08-21 12:16:25.645766+00,2026-08-21 12:16:25.645766+00
6603d81e-836a-4224-96e9-edab08fb6e8d,log-attachments,logs/2026/08/21/ebde7fc7-c93c-4a41-aec1-a9888fece7fc.pdf,"{""eTag"":""\""bf9502e594ce377afd6b626c384ddc76\"""",""size"":5095429,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T11:56:35.000Z"",""contentLength"":5095429,""httpStatusCode"":200}",2026-08-21 11:56:34.463607+00,2026-08-21 11:56:34.463607+00
6eacde46-7d2c-4d4a-8cd7-c896126c3525,log-attachments,logs/2026/08/21/fcdcad60-8f4d-475b-8195-f8b9d0fe5ddd.pdf,"{""eTag"":""\""4b7c4bc09e22fed92d0348356695adb8\"""",""size"":5197454,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-20T21:38:45.000Z"",""contentLength"":5197454,""httpStatusCode"":200}",2026-08-20 21:38:44.243128+00,2026-08-20 21:38:44.243128+00
de8ab1d8-3e33-4971-8104-bbff85854f6a,log-attachments,logs/2026/08/22/021e0f3f-7f0b-4bc6-9ed5-df6666b57eed.png,"{""eTag"":""\""d6f0369fe9caab10ce763a142f1e3dba\"""",""size"":1675950,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T15:59:40.000Z"",""contentLength"":1675950,""httpStatusCode"":200}",2026-08-21 15:59:39.926519+00,2026-08-21 15:59:39.926519+00
8cee7bcd-4fd6-4090-92b9-83333211b9d9,log-attachments,logs/2026/08/22/0329757b-9fbe-4563-a070-7a9e1066757f.png,"{""eTag"":""\""5f612d103a24c30f521c0cb7a1b1e709\"""",""size"":1472088,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:11:25.000Z"",""contentLength"":1472088,""httpStatusCode"":200}",2026-08-21 16:11:24.296844+00,2026-08-21 16:11:24.296844+00
509348e4-2396-487f-8854-fcfe0422ac6b,log-attachments,logs/2026/08/22/0538cfe9-c958-4678-905f-4780727d4159.png,"{""eTag"":""\""884304303e6708d7d8bca685daff53b3\"""",""size"":1465697,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:48:48.000Z"",""contentLength"":1465697,""httpStatusCode"":200}",2026-08-21 16:48:47.623209+00,2026-08-21 16:48:47.623209+00
8716bfdb-8d58-45ac-ac23-ea8f63787551,log-attachments,logs/2026/08/22/05d3a87e-a5ab-4943-bd6b-0b4eff7657a5.png,"{""eTag"":""\""884304303e6708d7d8bca685daff53b3\"""",""size"":1465697,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:26:07.000Z"",""contentLength"":1465697,""httpStatusCode"":200}",2026-08-21 16:26:06.982336+00,2026-08-21 16:26:06.982336+00
